name                  filter                                      config                                                                                       tasks      cores    clockspeed    sim. time (ns)    avg resp time (ns)    peak power / thread (W)    avg power (W)    energy (J)    peak temperature (C)
parsec-fluidanimate   3.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-fluidanimate-simsmall-1                                                               parsec         2             3         539387200             539387214                   1.50195           5.49135      2.96196                  79.5938
parsec-blackscholes   3.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-blackscholes-simsmall-1                                                               parsec         2             3         193262300             193262363                   1.3159            2.7724       0.535801                 53.6153
parsec-blackscholes   3.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-blackscholes-simsmall-2                                                               parsec         3             3         101112500             101112504                   1.29459           3.13106      0.316589                 56.43
parsec-blackscholes   3.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-blackscholes-simsmall-3                                                               parsec         4             3          71985200              71985272                   1.29342           3.39203      0.244176                 58.0083
parsec-bodytrack      3.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-bodytrack-simsmall-1                                                                  parsec         3             3         626538100             626538108                   1.42414           2.7348       1.71345                  52.5914
parsec-x264           3.0GHz+maxFreq+2arrivals                    parsec-x264-simsmall-1,parsec-x264-simsmall-1                                                parsec         1             3         162425100             162213689                   1.09261          11.2205       1.82249                 107.928
parsec-x264           3.0GHz+maxFreq+3arrivals                    parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1                         parsec         1             3         167245700             167135547                   1.08818          14.5166       2.42784                 106.137
parsec-x264           3.0GHz+maxFreq+4arrivals                    parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1  parsec         1             3         171126000             170971872                   1.09922          17.7056       3.02989                 105.059
parsec-blackscholes   3.0GHz+maxFreq+slowDVFS                     parsec-blackscholes-simsmall-1                                                               parsec         2             3          53340600              53340684                   2.34012          12.4094       0.661927                156.577
parsec-blackscholes   3.0GHz+maxFreq+slowDVFS                     parsec-blackscholes-simsmall-2                                                               parsec         3             3          30771300              30771304                   2.32234          17.6369       0.542712                153.668
parsec-blackscholes   3.0GHz+maxFreq+slowDVFS                     parsec-blackscholes-simsmall-3                                                               parsec         4             3          23457800              23457829                   2.33619          21.4626       0.503465                153.377
parsec-bodytrack      3.0GHz+maxFreq+slowDVFS                     parsec-bodytrack-simsmall-1                                                                  parsec         3             3         169634500             169634544                   2.47856          13.3639       2.26698                 178.944
parsec-bodytrack      3.0GHz+maxFreq+slowDVFS                     parsec-bodytrack-simsmall-2                                                                  parsec         4             3          94286300              94286374                   2.45041          19.6981       1.85726                 175.776
parsec-canneal        3.0GHz+maxFreq+slowDVFS                     parsec-canneal-simsmall-1                                                                    parsec         2             3         878912400             878912407                   2.30928           5.51032      4.84309                  71.3838
parsec-canneal        3.0GHz+maxFreq+slowDVFS                     parsec-canneal-simsmall-2                                                                    parsec         3             3         788147400             788147452                   2.31509           5.68467      4.48036                  71.8582
parsec-canneal        3.0GHz+maxFreq+slowDVFS                     parsec-canneal-simsmall-3                                                                    parsec         4             3         754047300             754047331                   2.31287           5.76079      4.34391                  72.1752
parsec-dedup          3.0GHz+maxFreq+slowDVFS                     parsec-dedup-simsmall-1                                                                      parsec         4             3         849774500             849774502                   2.56614           8.6038       7.31129                  99.3375
parsec-x264           3.0GHz+maxFreq+slowDVFS                     parsec-x264-simsmall-1                                                                       parsec         1             3         157299600             157299659                   1.09586           7.72189      1.21465                 109.405
parsec-x264           3.0GHz+maxFreq+slowDVFS                     parsec-x264-simsmall-2                                                                       parsec         3             3          91874300              91874346                   1.08008           9.94786      0.913953                108.198
parsec-x264           3.0GHz+maxFreq+slowDVFS                     parsec-x264-simsmall-3                                                                       parsec         4             3          79699400              79699449                   1.34727          10.8632       0.86579                 107.742
parsec-blackscholes   4.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-blackscholes-simsmall-1                                                               parsec         2             4          73836600              73836676                   1.46708           8.92267      0.65882                 118.869
parsec-blackscholes   4.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-blackscholes-simsmall-2                                                               parsec         3             4          51292200              51292261                   1.49557          10.817        0.554829                 99.9418
parsec-blackscholes   4.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-blackscholes-simsmall-3                                                               parsec         4             4          44351100              44351135                   1.48426          11.8145       0.523984                 89.7332
parsec-bodytrack      4.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-bodytrack-simsmall-1                                                                  parsec         3             4         197281800             197281803                   2.51443          10.8449       2.13951                 154.334
